epoch,phase,loss,dice_mean,dice_wt,dice_tc,dice_et,hd95_mean,hd95_wt,hd95_tc,hd95_et,iou_mean,iou_wt,iou_tc,iou_et,lr
22,val,0.099668,0.88336,0.921444,0.890821,0.876262,3.843266,6.9103,4.213735,3.297546,0.814779,0.864592,0.831219,0.799057,0.0001
23,train,0.092342,0.888035,0.92536,0.907965,0.875545,0.0,0.0,0.0,0.0,0.822606,0.867417,0.853474,0.800112,0.0001
23,val,0.097666,0.883116,0.923519,0.890597,0.876149,4.123515,6.472921,4.425768,3.641541,0.813808,0.868014,0.83051,0.79802,0.0001
24,train,0.087994,0.888201,0.926433,0.906885,0.875944,0.0,0.0,0.0,0.0,0.822423,0.868647,0.851435,0.800856,0.0001
24,val,0.094877,0.890388,0.922244,0.903271,0.878221,4.567864,7.0022,4.725516,4.336312,0.823075,0.865673,0.844722,0.802636,0.0001
25,train,0.09497,0.881295,0.923962,0.900966,0.868072,0.0,0.0,0.0,0.0,0.813698,0.865134,0.843968,0.79079,0.0001
25,val,0.095696,0.888818,0.916119,0.901628,0.877316,4.338159,6.57315,4.600291,4.010908,0.820829,0.855739,0.84257,0.801032,0.0001
26,train,0.091892,0.886241,0.926128,0.906098,0.873938,0.0,0.0,0.0,0.0,0.820036,0.868382,0.850333,0.798332,0.0001
26,val,0.097901,0.887155,0.915588,0.902037,0.872595,4.082808,8.202207,4.420287,3.664075,0.817171,0.855466,0.842932,0.79204,0.0001
27,train,0.086255,0.892708,0.927802,0.912632,0.878673,0.0,0.0,0.0,0.0,0.82858,0.870999,0.859199,0.805054,0.0001
27,val,0.098125,0.885013,0.916818,0.896069,0.874458,3.965633,7.129614,4.453182,3.394473,0.81771,0.860194,0.837119,0.799217,0.0001
28,train,0.085586,0.891231,0.929101,0.911906,0.877783,0.0,0.0,0.0,0.0,0.826165,0.873154,0.857646,0.802989,0.0001
28,val,0.092369,0.894665,0.923208,0.906595,0.883348,3.781593,6.206822,3.927236,3.538815,0.828581,0.867308,0.849865,0.808357,0.0001
29,train,0.086967,0.889052,0.930004,0.908488,0.877286,0.0,0.0,0.0,0.0,0.825167,0.874681,0.855558,0.803217,0.0001
29,val,0.098223,0.885813,0.911037,0.897214,0.875206,4.274061,8.634476,4.715094,3.658188,0.817628,0.851484,0.838522,0.798015,0.0001
30,train,0.084224,0.891514,0.930026,0.912026,0.877447,0.0,0.0,0.0,0.0,0.827547,0.874584,0.858665,0.804113,0.0001
30,val,0.09086,0.898779,0.910759,0.913546,0.884679,3.629363,8.094019,3.828115,3.242848,0.835419,0.850207,0.859797,0.812151,0.0001
31,train,0.088574,0.885782,0.923686,0.906233,0.872909,0.0,0.0,0.0,0.0,0.820446,0.865397,0.851152,0.798047,0.0001
31,val,0.095382,0.887479,0.920571,0.90023,0.878777,5.171911,6.348199,5.42331,4.734608,0.820904,0.862968,0.842467,0.803862,0.0001
32,train,0.081212,0.898642,0.931252,0.91984,0.882981,0.0,0.0,0.0,0.0,0.835932,0.877105,0.867811,0.810774,0.0001
32,val,0.088951,0.894062,0.926409,0.904873,0.88368,3.940159,5.912013,4.295075,3.488847,0.828919,0.872173,0.848675,0.80995,0.0001
33,train,0.082511,0.89687,0.931318,0.918587,0.88078,0.0,0.0,0.0,0.0,0.833955,0.876773,0.866291,0.808354,0.0001
33,val,0.095866,0.883012,0.910522,0.896803,0.87003,4.676036,9.085657,4.955627,4.289848,0.816589,0.850479,0.83971,0.794802,0.0001
34,train,0.081719,0.894597,0.931762,0.916639,0.878884,0.0,0.0,0.0,0.0,0.831758,0.877579,0.864688,0.80613,0.0001
34,val,0.09527,0.88323,0.925101,0.886433,0.880718,4.767943,6.501741,5.321066,4.123168,0.817717,0.870464,0.828459,0.808145,0.0001
35,train,0.085191,0.891667,0.930431,0.913784,0.876526,0.0,0.0,0.0,0.0,0.828957,0.875498,0.861788,0.804197,0.0001
